word,index
im,0
selfish,1
impatient,2
little,3
insecure,4
make,5
mistakes,6
control,7
time,8
hard,9
handle,10
cant,11
worst,12
sure,13
hell,14
deserve,15
best,16
gotta,17
dance,18
like,19
theres,20
nobody,21
watchinglove,22
never,23
hurtsing,24
listeningand,25
live,26
heaven,27
earth,28
know,29
love,30
fall,31
asleep,32
reality,33
finally,34
better,35
dream,36
friend,37
someone,38
still,39
darkness,40
cannot,41
drive,42
light,43
hate,44
accept,45
think,46
life,47
truly,48
believe,49
find,50
completely,51
turn,52
world,53
around,54
tell,55
things,56
share,57
another,58
soul,59
absorb,60
everything,61
say,62
actually,63
want,64
hear,65
hope,66
future,67
come,68
true,69
goals,70
achieve,71
many,72
disappointments,73
throw,74
something,75
wonderful,76
happen,77
wait,78
excitement,79
embarrassed,80
cry,81
hurt,82
laugh,83
fool,84
feelings,85
feel,86
good,87
enough,88
rather,89
build,90
show,91
special,92
even,93
beautiful,94
pressure,95
jealousy,96
competition,97
quiet,98
calmness,99
worry,100
seem,101
insignificant,102
people,103
note,104
song,105
walk,106
become,107
invaluable,108
treasures,109
keep,110
safe,111
heart,112
cherish,113
forever,114
memories,115
childhood,116
back,117
clear,118
vivid,119
young,120
colour,121
brighter,122
brilliant,123
laughter,124
part,125
daily,126
infrequent,127
exist,128
phone,129
call,130
two,131
day,132
help,133
get,134
long,135
days,136
work,137
always,138
bring,139
smile,140
face,141
presence,142
need,143
continuous,144
conversation,145
quite,146
content,147
nearby,148
interest,149
fascinating,150
important,151
person,152
every,153
occasion,154
simple,155
mind,156
pale,157
blue,158
sky,159
gentle,160
wind,161
storm,162
cloud,163
horizon,164
open,165
chance,166
may,167
break,168
one,169
experience,170
joy,171
possible,172
vulnerable,173
way,174
allow,175
pleasure,176
thats,177
real,178
scares,179
strength,180
possibly,181
mate,182
remain,183
loyal,184
end,185
different,186
exciting,187
worthwhile,188
security,189
read,190
slowly,191
opposite,192
indifference,193
art,194
ugliness,195
faith,196
heresy,197
death,198
lack,199
friendship,200
unhappy,201
marriages,202
without,203
simply,204
problems,205
pride,206
intimate,207
hand,208
upon,209
chest,210
eyes,211
close,212
trust,213
wrong,214
none,215
ever,216
horrible,217
means,218
inside,219
mess,220
deeply,221
give,222
courage,223
matter,224
go,225
sometimes,226
universal,227
truth,228
decide,229
girls,230
friends,231
,232
theyll,233
act,234
anyway,235
remember,236
ones,237
stay,238
theyre,239
let,240
also,241
sisters,242
lovers,243
well,244
baby,245
pretty,246
much,247
soulmate,248
half,249
whole,250
fail,251
mean,252
gonna,253
try,254
hold,255
sweetie,256
head,257
high,258
chin,259
importantly,260
lifes,261
thing,262
place,263
accidentally,264
heartbeat,265
single,266
flashing,267
throbbing,268
moment,269
condition,270
happiness,271
essential,272
reali,273
first,274
last,275
else,276
matters,277
perfectyou,278
either,279
perfect,280
together,281
cause,282
twice,283
admit,284
human,285
onto,286
second,287
breakher,288
change,289
analyze,290
expect,291
happy,292
mad,293
miss,294
nothing,295
common,296
man,297
thoughts,298
ive,299
led,300
monuments,301
dedicated,302
name,303
soon,304
forget,305
quietlyaugustus,306
saidi,307
stare,308
see,309
corners,310
crinkling,311
business,312
deny,313
shout,314
void,315
oblivion,316
inevitable,317
doomed,318
labor,319
return,320
dust,321
sun,322
swallow,323
look,324
mindand,325
therefore,326
winged,327
cupid,328
paint,329
blind,330
fit,331
everyone,332
mirror,333
attention,334
probably,335
meet,336
tear,337
walls,338
smack,339
awake,340
nah,341
painful,342
mates,343
reveal,344
layer,345
leave,346
purpose,347
shake,348
apart,349
ego,350
bite,351
obstacles,352
addictions,353
new,354
desperate,355
transform,356
introduce,357
spiritual,358
master,359
woman,360
anything,361
spite,362
fact,363
weird,364
whose,365
weirdness,366
compatible,367
join,368
mutually,369
satisfy,370
weirdnessand,371
lovetrue,372
die,373
natural,374
replenish,375
source,376
blindness,377
errors,378
betrayals,379
illness,380
wounds,381
weariness,382
witherings,383
tarnishings,384
really,385
notion,386
halves,387
nature,388
lover,389
thrill,390
kiss,391
forehead,392
space,393
flower,394
youi,395
garden,396
wrung,397
intact,398
must,399
animal,400
wrap,401
carefully,402
round,403
hobbies,404
luxuries,405
avoid,406
entanglements,407
lock,408
casket,409
coffin,410
selfishness,411
dark,412
motionless,413
airless,414
unbreakable,415
impenetrable,416
irredeemable,417
talk,418
comfortable,419
dumbledore,420
watch,421
fly,422
away,423
silvery,424
glow,425
fade,426
snape,427
full,428
tearsafter,429
timealways,430
list,431
teach,432
school,433
somebody,434
famous,435
rich,436
poor,437
longer,438
whats,439
elses,440
whos,441
worth,442
awfully,443
big,444
adventure,445
ladys,446
imagination,447
rapid,448
jump,449
admiration,450
matrimony,451
easy,452
everyday,453
worse,454
tis,455
lose,456
certain,457
secret,458
shadow,459
hes,460
least,461
quote,462
poetry,463
yell,464
guys,465
guy,466
understand,467
promise,468
saidright,469
course,470
idea,471
sight,472
begin,473
lucky,474
exactly,475
right,476
combine,477
flaws,478
arrange,479
separate,480
beings,481
hinge,482
put,483
someones,484
bad,485
qualities,486
somehow,487
complete,488
despair,489
history,490
win,491
tyrants,492
murderers,493
invincible,494
italways,495
patient,496
kind,497
envy,498
boast,499
proud,500
rude,501
selfseeking,502
easily,503
anger,504
record,505
wrongs,506
delight,507
evil,508
rejoices,509
protect,510
perseveres,511
reason,512
strive,513
us,514
vain,515
struggle,516
repressed,517
ardently,518
admire,519
perhaps,520
dragons,521
princesses,522
beauty,523
frighten,524
deepest,525
essence,526
helpless,527
side,528
enjoy,529
treasure,530
treasured,531
carry,532
hearti,533
anywherei,534
gomy,535
dear,536
whatever,537
doingmy,538
darlingi,539
fear,540
fate,541
fatemy,542
sweeti,543
worldmy,544
trueand,545
moon,546
meant,547
sing,548
youhere,549
knowshere,550
root,551
bud,552
tree,553
growshigher,554
hideand,555
wonder,556
stars,557
aparti,558
boy,559
entire,560
universe,561
conspired,562
ask,563
stop,564
stronger,565
dare,566
anyone,567
bits,568
lightwoods,569
isabelle,570
alec,571
take,572
years,573
clary,574
since,575
belong,576
treat,577
ordinary,578
yourselfto,579
strong,580
nothingcan,581
disturb,582
peace,583
mindto,584
health,585
prosperityto,586
meetto,587
feelthat,588
themto,589
sunny,590
everythingand,591
optimism,592
trueto,593
bestand,594
bestto,595
enthusiastic,596
success,597
othersas,598
ownto,599
pastand,600
press,601
greater,602
achievements,603
futureto,604
wear,605
cheerful,606
countenance,607
timesand,608
creature,609
smileto,610
improvement,611
yourselfthat,612
criticize,613
othersto,614
large,615
noble,616
fearand,617
permit,618
troubleto,619
proclaim,620
worldnot,621
loud,622
words,623
great,624
deedsto,625
sideso,626
dignified,627
alone,628
solitude,629
yearning,630
risk,631
betrayed,632
brush,633
near,634
sit,635
apple,636
listen,637
apples,638
heaps,639
waste,640
sweetness,641
taste,642
girl,643
question,644
spend,645
answer,646
measure,647
poets,648
awakens,649
reach,650
plant,651
fire,652
hearts,653
id,654
basic,655
motivating,656
force,657
afraid,658
pull,659
offer,660
passion,661
acceptance,662
learn,663
glory,664
imperfections,665
fully,666
ability,667
others,668
potential,669
create,670
evolution,671
rest,672
fearlessness,673
openhearted,674
vision,675
embrace,676
despite,677
differences,678
rare,679
minute,680
seared,681
memory,682
ill,683
women,684
choose,685
follow,686
men,687
career,688
wake,689
anymore,690
escape,691
blame,692
angry,693
shall,694
pain,695
lot,696
imagine,697
lion,698
lamb,699
murmured,700
hide,701
thrilled,702
wordwhat,703
stupid,704
sighedwhat,705
sick,706
masochistic,707
sign,708
incomplete,709
whispers,710
wish,711
touch,712
poet,713
silly,714
romantic,715
heavens,716
